modality,query,answer,pdf,page
infographic,"What is happening February 17, 2012 at the DuPage Children's Museum? ",NCHS Theatre Central Children's Play (Do You Believe In Magic?) and Paper Tower Engineering at 5:00-7:00 PM.,1033210,16
infographic,What are the mayor's responsibilities and abilities?,The mayor's political capital influences the legislative agenda. The mayor has the ability to veto legislation from the DC City Council. The mayor appoints the Director of DOEE and DCPSC Commissioners with advice and consent from DC City Council.,1019364,17
infographic,Are there any nutrients in turkey?,Vitamin B,2214005,2
infographic,What are the key principles for future new towns and districts?,"Smart principles, Green principles, and Resilient principles.",1617802,16
infographic,What are the actions that fall in both categories of mitigation and adaptation?,"Climate 'proofing', education/awareness behavioral change, water conservation, locally sourced food, and green infrastructure. ",1059801,71
infographic,What are the three conditions of the Strong Evidence Rule?,"The premises are presented as evidence the claim is true. The premises are reasonable true, relevant, unbiased, and complete. There is no credible dissent. ",1002697,17
infographic,"In the TSP learn, what kind of route where the government pay 95% cost of Apprenticeship training?",Co-Investment Funding Route,2077674,0
infographic,"Based on The Global Risk Outlook for 2019, what was one of the issues that was considered a global risk in terms of Impact? ",Water crises,1777901,98
infographic,Where does threats appear with new technology?,"Threats to information, systems, infrastructures on which institutions rely.  ",1226458,5
infographic,What should I not do to protect myself from heat exposure?,"Do not wait until you are thirsty to drink water, do not drink alcohol, and avoid caffeine.",1650648,53
infographic,What does filtration remove in the Bull Run Treatment project?,Cryptosporidium and other potential contaminants.,1633899,11
infographic,"In the Pursue University Integrations, what kind of institution has only one certified entity with branch campuses?",Single Institution,2029694,206
infographic,What percentage of children are repeatedly not present at school?,13.50%,2279695,10
infographic,"How dangerous is heroin, if already addicted to cocaine?",People with a cocaine addiction is 15 times more likely to be addicted to heroin.,1064553,0
infographic,What equipment is required on your boat to protect swimmers in the area from any electrical leaks?,Equipment Leakage Circuit Interrupters (ELCI),2403632,23
infographic,"According to the City of Oxnard's Quality of Life Strategy, how many Neighborhood Watch programs will have started based on Goal 3 Performance Measures in FY 2016-2017?",2,1772878,358
infographic,What do windmills contribute in creating resilient communities?,Promote alternative energy systems.,1689899,24
infographic,What if I have a piercing on one side of my nose while doing the Rapid Covid-19 Self test?,Swab the nostril on the other side.,1702410,26
infographic,"According to The Generations of Web Marketing Today, how many donor Boomers are located in the U.S.?",51.0 million,1771121,4
infographic,What is the 1/3rd of aviation's total climate impact made of based on the Transport & Environment?,CO2,2029469,17
infographic,What do you call to the medical condition where it can appears when you have too much potassium stored in the body?,Hyperkalemia,2132659,238
infographic,"In the Endocannabinoid System, what type of human cannabinoid receptors are located in peripheral organs?",CB2,1760931,68
infographic,In what bible verse where Jesus restore Lazarus to life?,John 11: 1-45,2275559,24
infographic,What are the stakeholder outcomes?,"Heathrow Airlines provides efficient, reliable and affordable airport services. Heathrow delivers to investors predictable and fair returns. Heathrow is a great place to work for colleagues. Heathrow is committed to sustainable airport growth. ",1090313,8
infographic,"Based on the Swiss Cheese Model for Protecting Against COVID-19, what do you wear when you are in a public indoor room?",mask,1759675,1
infographic,What solution went through the desalination process using the Reverse Osmosis (R.O.) pump?,Diluted Solution,2241995,27
infographic,How many people chat with friends while they play games?,67% of people chat with people they are friends with/know outside the game.,1073663,23
infographic,How much annual income is needed to afford an average three-bedroom rent in RI?,"$60,880",1031214,3
infographic,What is the required temperature for the storage of the BBV152/Covaxin according to Bharat Biotech?,+2-8°C,1832877,62
infographic,"Based on the Legal Consumer Fireworks of Washington State, what is the maximum grams of pyrotechnic composition per item of Dipped Stick, Sparkler is acceptable?",100 grams,2297859,13
infographic,"According to the Nature-based sector - Scotland's green economic powerhouse, how many jobs are in the nature-based sector in 2019?","195,000",2062577,11
infographic,How many DNA matches do Johanna Persdotter and Elna Persdotter have combined?,Johanna and Elna Persdotter have 9 total DNA matches.,1349290,11
infographic,What is the earliest advancements for carbon reduction in energy?,Wind energy Germany factory.,1569053,14
infographic,What is the final form of Phase infection?,Degraded DNA/RNA.,1307550,55
infographic,"Based on the Civil Registration, Vital Statistics, and Identity Management System, what is the name of the database (DB) that the Population Register stored?",PR DB,1750621,8
infographic,"In Early Feelings & Behaviors, what do you call the lack of confidence about who they are and what they can do?",Low self-esteem,2125513,11
infographic,What are the different types of mesenchymal stem cells?,"Cartilage, Fibroblasts (Tendon & Ligaments), Stromal Cell, Osteocytes, Fibroblasts (skin), Astrocytes, Adipocytes, and Myocytes. ",1389619,2
infographic,"According to Figure 4- STiR's scaling journey, who did STiR work with when they tried to pilot a public primary school?",Delhi Municipal Gov't,1745005,19
infographic,What is the next step after fermentation?,Filtration.,1401421,4
infographic,"In the Scope for Policy Alignment  in Government, what kind of plan is in the Local area?",Integrated Development Plan (IDP),2234793,15
infographic,"Based on the Local Road Safety Plans: Your Map to Safer Roadways, what percentage of Americans live in rural areas in 2017?",19%,2020425,629
infographic,What team will prioritize your complaint about the principal of a school?,Central Office Complaints Team,1812982,7
infographic,"Among the five elements of the Safe System Approach, what element involved forensic investigation at the crash site?",Post-Crash Care,2309243,9
infographic,When did the 2.0 industrial revolution take place and what defined this period in terms of production?,The 2.0 industrial revolution took place in the 1870s. This period was defined by electrically powered mass production.,1319738,16
infographic,"According to the COVID-19: Social Distancing in Public and Trails rules, what kind of guidance do you need to follow before going to a park?",CDS's guidance,2077790,3
infographic,"If I implemented the redcap software to the KCHSI, what can I expect?","Online secure system, real-time data entry, no double entry, captures more data, and less time consuming with no extra costs. ",1564289,0
infographic,What kind of injection is used in the TALEN and CRISPR/Cas delivery into vitro Zygote?,mRNA injection,2037338,108
infographic,"Based on the Prevalence of Vaping among Youth in the US in 2019, how many students reported they used a every day?",1.6 million,2210778,8
infographic,How many construction workers will suffer from a serous eye injury during their career at MINTRA GROUP?,50%,1693850,12
infographic,"Based on How God Works in the World, who was granted by God to talk to the King?",Esther,1726012,0
infographic,From what age to what age is the black population in Canada considered children and youth?,Ages 0-29 are considered children and youth.,1554828,2
infographic,What systems boost funds for sewer hookup?,Onsite Sewage Systems,2317530,86
infographic,What are the blockchain experiments performed by the government?,"Georgia: National Agency of Public Registry, and Estonia: e-residency program. ",1127925,17
infographic,How does the risk of death in a car accident increase for drivers who are 16 or 17 years old?,when there are young passengers in the vehicle,2234294,16
infographic,What are things I should avoid that increases long-term stress?,"Overconsuming sugar, caffeine, and alcohol.",1093596,0
infographic,Which operating system should Schoolmontana support?,JUNOS,1284408,8
infographic,"Based on the Climate of Performance Attitudes & Behaviours, who creates all the decisions?",Adults,2034985,4
infographic,What is the execution principle that revolves around investment?,"Invest in use cases, not technologies. ",1617802,36
infographic,What are the skills in demand for blockchain employees?,"Applied Game Theory, Labor Market Data, Network Externalities, Schelling-Point Coordination, Applied Behavioral Science, Institutional Cryptoeconomics, User Experience Design.",1127925,26
infographic,"In the gradcracker, what skill has the competency question that needs to tell if you had the experience to lead a team of people to achieve a goal?",Leadership,1845814,2
infographic,What is the purpose of the water treatment system?,Reduce water pollution and treat wastewater from cities of Kafue and Mazabuka.,1027721,16
infographic,Where is the water harvesting for the Blue-green infrastructure?,Retention lake,1617802,10
infographic,What can grass be used for?,"Grass can be converted into briquettes for cooking, used as thatch for roofing, essential oil and craft production for market, and livestock feed, ground mulch and soil reconditioning. ",1103367,24
infographic,What is the purpose of the coordinating center?,"Data entry, 24/7 physician access, safety management, screening, and eConsent. ",1275957,7
infographic,"Based in the New Normal of Safe Dining, where the person only needs to sit?",unmarked seats,1850314,5
infographic,How can we maintain effectiveness in IEC 61511?,"Training, Inspections & Proof Tests, Repairing Spare Parts, and Registration. ",1313041,7
infographic,What is connected to the protein CD47?,Active macrophages,1392116,4
infographic,When does the Cyber Core Group take action?,When assessment of the threat situation and protection mechanism is needed. When serious cyber incidents handling needs to be supervised.,1168060,22
infographic,"Even if you are not sure of child abuse, do you still report it?","Yes, if you suspect it, you have a responsibility to report it. ",1435984,7
infographic,What is the total of snakes in Southern Africa considered as not poisonous?,Seventy seven,2078136,0
infographic,What is the required distance for the students with each other based on the Adapt Safe Procedures?,6 feet,2021578,29
infographic,How many servings of sweets can I have when on the DASH diet?,Less than 5 servings of sweets per week.,1328389,17
infographic,What is considered a Class 12 vehicle?,"Six axle, multi trailer vehicles.",1590817,28
infographic,"According to the Nuscale Power Module, what is the process by which heat is transferred from the main coolant through the tube's wall in the steam generator?",Conduction,2031933,10
infographic,How many features of this recycle bin are mentioned in the infographic?,"The infographic shows four new features that include a lid, more space to hold recyclables, an all-in-one container to reduce the need for sorting, and wheels for rolling out the bin.",1315560,14
infographic,What is the purpose of Muskegon County proposing this system?,"To improve livability elements, such as social connection & trust, safety & security, economic opportunity, health, and education. ",1223833,0
infographic,"Based on Mosaic and Acorn profiling and industry analysis of gatherwell, what payment method is most frequently used when playing the lotteries?",Direct Debit,1845210,18
infographic,What is the item associated with WP1A6?,Disease classification.,1426362,4
infographic,What is the difference between level 1 and level 3 wide squats?,The difference between level 1 and 3 wide squats is that level 1 consists of 10 repetitions and level 3 consists of 30 repetitions.,1523335,170
infographic,What is the In-place Mineral Extraction (IPME) environmentally friendly solution that impacts the workers?,It is safer for workers and surrounding communities.,1061941,8
infographic,"Based on the Competency-Based Management, how many competencies are included in the Technical section?",9,2121758,11
infographic,"In the Present system, what is the treatment for the enhancement of transgene-high-expressors?",IB4SAP treatment,2022224,9
infographic,What Emerging Wood Product is made up of light and strong fibers that can be used in different applications?,Nanocellulose,1780979,50
infographic,"According to the Help Stop the Spread of Coronavirus (COVID-19), who will you notify if you are not feeling well?",teacher,2066238,12
infographic,What percentage of individuals are using social media platforms every day?,89%,1819221,14
infographic,What kind of mask that required only use once?,Conventional Mask,2007661,16
infographic,How much revenue is distributed to COMBO for MGMA?,33%,1642551,32
infographic,"According to the Beyond COVID-19: laying the foundations for a net-zero recovery, what must to stimulate immediate to help set the UK on the path to achieving net-zero in the first foundation?",packages,1846956,2
infographic,In which areas are the availability for network demands most critical?,"Video Streaming, 3D HUD/Augmented Reality, Backseat Gaming, M2M Signals, Real-Time Traffic Reporting, Mobile Payment, Voice Texting, Video Call, Collision Avoidance, D2D Comm, and Cloud-Based Autopilot.",1601996,5
infographic,What type of saw used in cutting complicated designs and shapes?,COPING SAWS,2253859,31
infographic,What is popular among customers who want long term benefits?,Unlimited support.,1487346,5
infographic,When is the best time for screening dyslexia?,"Ages 4, 5, and 6. ",1180235,20
infographic,"How long did houses stay in inventory in 2021 in Callahan County, Texas?",2.1 months,1593319,7
infographic,What is the evolutionary threshold domains of the past?,"Fixed Material Resource Base, ""Hard"" Asset Commodities, ""Traditional"" Bio-Med Resources, and Geographically Confined Resource Allocation. ",1021846,9
infographic,What is the most uncertain variable in the equation that determines technologically advanced civilizations in the Milky way.,L=The length of time such civilization release detectable signals into space.,1587861,2
infographic,"As per the Public Spaces Protection Order (PSPO), how much will you pay as punishment if you do things that are not allowed?",£100,1829628,20
infographic,When is HTTPS allowed to request for no decryption?,When shield uses SSL Passthrough.,1618410,10
infographic,How can I maintain physical distancing?,Keep at least 2 meters (6 feet) away from persons that do not live in your household; avoid crowds.,1017488,27
infographic,What stage is the infective larvae become adults that spend several months reproducing and laying eggs within the sheep's gut?,Host stage,2055686,5
infographic,What percentage of children living in poverty have asthma?,10.5% of children living in poverty suffer from asthma.,1437865,3
infographic,"Based on the Purchasing Timeline, what will you do once you have an insurance?",Go to settlement,1749626,3
infographic,What exits the plant during photosynthesis?,Oxygen and sugar.,1257851,8
infographic,"According to the Patients Report, what is the percentage of patients are experiencing development in the Vision-1 Topline Results: 2% MicroLine Dose?",71%,2080056,19
infographic,What happened before June 1999?,"July 1998, DPH Office of Multicultural Health established by state statute CGA 19a-4j.",1386323,40
infographic,What are the strategic focus points of the Council for Biodiversity & Climate Change?,"Enhance resilience, report on the state of biodiversity, engage people, and strengthen council. ",1011129,11
infographic,"Which area was the most studies found in discussing the impact of Microinsurance, and how many?",20 studies found an increase in the use of health services,1721085,36
infographic,What are the key concepts of the Palantir Business Model and Expansion Strategy?,"Acquire, Expand, and Scale",1667017,14
infographic,When did the inauguration of vice-chancellor take place?,2018,1590187,3
infographic,What makes the Ozone above the Troposphere bad?,Acts as a greenhouse gas trapping heat,1693473,10
infographic,How long is the M2M battery life based on the 5G performance targets?,10 years,2087880,0
infographic,"During the Daimler FCEVs on 2021, how many GLC F-Cell is in the operation?",150,2210845,66
infographic,How corrupt was Lao PDR 2016 in the Corruption Perception Index?,123 out of 176,1606393,105
infographic,"Based on the Blockchain Digital Transformation, what technology is a storage that has additional security with a decentralized network?",Cloud Storage,1829240,16
infographic,"How many individuals were in the government quarantine facility based on Jamaica Covid-19 Dashboard as of July 16, 2020?",3,1796331,11
infographic,What action must take place for Carbon Neutral Peace and Defense?,Nationally Determined Contributions (NDCs): All countries to include their militaries and defense industries in their GHG emission reduction plans and targets.,1024589,5
infographic,"In Integrating urban and public transport planning, what focuses in people with disability in movement?",Public transport infrastructure,2248035,2
infographic,How many plastic bottles can I save if I use a personal reusable water bottle for one year?,167 plastic water bottles.,1587427,53
infographic,What happened to the average tenure of board directors from 2017 to 2021?,"Decreased 43.3%, from 9 to 5.1 years. ",1752996,12
infographic,What is the disease occur during childhood in PRR signalling?,Staphylococcal,2026170,8
infographic,What do dead organisms and dead waste products turn into?,Fossils and fossil fuels.,1329230,2
infographic,What service allows for the implementation of new features only when a significant amount of users is available?,nipu service,2313247,22
infographic,What current proportion of people in Massachusetts reside in areas with low concentrations of poverty?,83%,2222024,75
infographic,How long does it take for the CDN in harmonic VOS to catch-up after the live?,20 second,2131651,5
infographic,What are two ways water can be controlled during a dengue outbreak to minimize risks?,Covering water containers and reducing the amount of standing water are two ways water can be controlled during a dengue outbreak to minimize risks.,1315401,18
infographic,What is the very first focus of stakeholder engagement for GHG?,Greenhouse Gas Inventory,1603370,6
infographic,How many victims are satisfied with restorative justice?,85%,1198774,104
infographic,What should we check the label for in packaged foods for a healthier option?,"Choose foods lower in fat, salt and sugars. ",1677614,64
infographic,What city in Horsetown USA that looking forward to Welcoming everyone Back in their City Facilities?,Norco,2031348,3
infographic,What are the FIS U.S. Networks?,"National banks, Regional banks, and Credit unions. ",1079847,13
infographic,Which section does content search and master data belong in?,Data.,1520433,8
infographic,"According to the Sustainable Development Goals,  what kind of water is the ideal?",Clean,2323377,41
infographic,What is China's Energy Strategy Target for 2030?,15% gas share of primary energy mix,1671275,30
infographic,How long can be broccoli florets and Robertsons Mixed Herbs be cooked when making of Cream of Broccoli and Cheese Soup?,5 minutes,1730970,32
infographic,What do you call to a group of cells that helps to form organs?,Tissue,2248028,6
infographic,What kills the cancer cell?,Cytotoxic T cell.,1427002,0
infographic,"Based on the Oracy & Dialogue of University of Cambridge Primary School, how many forms of talk did Neil Mercer classify?",3,2125717,7
infographic,"In the innovation lifecycle, what is the first step that you need to do?",Research,2248160,8
infographic,Before reaching funding options what are the two steps the business must go through prior?,Incorporating the Business and Trading Commences,1613287,1
infographic,What accommodations will at risk students receive?,A system dueled by sophisticated analytics over the cloud will help teachers identify students who are most at risk. Predict their roadblocks and then suggest measures to help them overcome their challenges.,1230116,19
infographic,What is blocking the New York Office from incoming connections?,Firewall.,1396160,5
infographic,How much Carbon Emission per capita was generated in 2020?,Less than 4.5 Tonnes,1617802,14
infographic,What is the next step after determining if available water supply is sufficient to meet priority demands?,Considering the need to reserve water to meet demand in future years.,1532957,8
infographic,What kind or version of Industry fall into the Manufacturing of BE Connected?,4,2283718,18
infographic,When will I learn the methodology?,PLO 1 and PLO 3.,1208142,24
infographic,What symptoms should I look out for when screening for COVID-19?,"Fever of 100.4 F or higher, cough or shortness of breath, and a lack of taste and smell.",1224094,29
infographic,"In the VANPOOL program, how many gallons of fuel can be saved?","545, 000 gallons",1768802,25
infographic,What does cortisol do to the brain?,Cortisol causes anxiety and depression headaches.,1016869,8
infographic,What are two ways the recycling system can be improved?,"Promoting the collection of all materials such as metals, paper, glass, and plastic as well as incentivizing the use of packaging that has better environmental performance.",1358738,23
infographic,How much of Lao PDR's population has mobile phones in 2016?,53%,1606393,75
infographic,What does support and development entail?,"Regular webinars, unlimited individual training, annual data updates, and presentation support.",1325846,47
infographic,"In the ECN Solar Energy Research Lines, what are the PV components of PV applications?","junction boxes, transformers",1753584,6
infographic,What was attributed to the low hydro generation in northern Europe in 2018?,Below-average rainfall throughout the year.,1112636,11
infographic,What should I avoid to keep myself and others healthy?,"Avoid touching your eyes, nose, and mouth with unwashed hands. ",1711512,2
infographic,"What does the acronym ""RAIN"" represent?","R- Recognize what's going on
A- Allow the experience to be there, just as it is
I- Investigate with kindness
N- Natural awareness which comes from not identifying with the experience",1655424,8
infographic,What is the measurement of how straight perforations' alignment with one another?,G,2400614,12
infographic,"In the prevention of the CyanoHAB, what approaches make less the likelihood of bloom development?",Physical or chemical strategies,2404514,0
infographic,What type of water will you add to the spinach mixture when making the Cream of Leek & Spinach Soup?,cold water,1730970,36
infographic,What is the origin of all known incurable health illnesses?,Inflammation,1767350,4
infographic,What is the street called when pedestrians have trees between them and the road to protect them?,Boulevard,1386502,31
infographic,What percentage did LTM Q1 2021 revenue generate through Hydraulics?,71%,1145567,79
infographic,"What is the result of drill & blast, load & haul, blended stockpile, grinding, crushing, and concentration?",Predict Simulate Optimise,2321888,40
infographic,How does one perform rescue breathing on a child?,"Keep the head tilted back, seal your mouth around the child's mouth and nose, and blow gently. Use only puffs from your cheeks for infants. Stop blowing as soon as the chest starts to rise. Repeat breaths at least 20 times a minute. ",1062601,31
infographic,Who is more at risk for COVID-19?,"Older adults and people of any age with underlying health conditions, such as diabetes, lung disease, or heart disease, are at greater risk of severe illness from COVID-19.",1304278,2
infographic,How many decibels does a Rock Band create?,110 dBA,1191805,3
infographic,How can I initiate the watershed plan?,"Implement management strategies, conduct monitoring, and conduct information/education activities. ",1418118,4
infographic,When will live pilots of EOL IMS software components take place in the NIMS project?,2020/21,1648784,6
infographic,What is the model where people live near their work?,The 'urban village' model.,1420291,34
infographic,"For ICUs, what do I do after I put on inner gloves?",Step into legs of coverall and place coverall over boot covers and pull towards arms and shoulders and pull half way up.,1629701,101
infographic,"If the police stops a deaf driver, what should the driver have?",Visor card attached to the driver's side sun visor.,1393736,7
infographic,What is used in preclinical research?,Animal models with or without AKI.,1426362,11
infographic,"On average, how much energy does the REGAE produce for LAOLA?",5.6 MeV,1599549,19
infographic,What categories fall in scope 1 but are not related to scope 2 or 3 in any way?,"1. Agriculture, forestry, and other land use
2. Industrial processes and product use",1378314,10
infographic,How is distributed functional ledger tech created from 2025 and beyond?,"Open access IoT Networks, and distributed cloud. ",1021846,42
infographic,What should I do after I set the input mode as mono?,Change UDX TYPE to 2TEL COMPACT.,1079763,16
infographic,How do I get to report illegal fireworks on the Gardena direct app?,"Follow these steps; Download Gardena Direct, Start a New Request, Select: Police Services, and Report Illegal Fireworks. ",1399204,0
infographic,Where does content go after the content creator uploads content and apps?,KOK Network Platform.,1063619,29
infographic,What are the top two most effective control methods within the hierarchy of controls?,Elimination and Substitution.,1043275,6
infographic,"According to the Product Profile: Nyxol + Low-Dose Pilocarpine (LDP) Combo, what will happen if you use a chronic daily dosing of Nyxol at bedtime?",no daytime redness,2081901,7
